id	name	address	city	phone	type	merged_values
1	arni morton' of chicago	4SLCB	los angeles	3102461501	american	
2	arni morton' of chicago	4SLCB	los angeles	3102461501	steakhouses	
3	art' delicatessen	1VB	studio city	8187621221	american	
4	art' deli	1VB	studio city	8187621221	delis	
5	hotel bel-air	7SCR	bel air	3104721211	californian	
6	bel-air hotel	7SCR	bel air	3104721211	californian	
7	cafe bizou	1VB	sherman oaks	8187883536	french	
8	cafe bizou	1VB	sherman oaks	8187883536	french bistro	
9	campanil	6SLBA	los angeles	2139381447	american	
10	campanil	6SLBA	los angeles	2139381447	californian	
11	chinoi on main	2MS	santa monica	3103929025	french	
12	chinoi on main	2MS	santa monica	3103929025	pacific new wave	
13	citru	6MA	los angeles	2138570034	californian	
14	citru	6MA	los angeles	2138570034	californian	
15	fenix	8SBW	hollywood	2138486677	american	
16	fenix at the argyl	8SB	w. hollywood	2138486677	french (new)	
17	granita	2WMR	malibu	3104560488	californian	
18	granita	2WMR	malibu	3104560488	californian	
19	grill on the allei	9DW	los angeles	3102760615	american	
20	grill  the	9DW	beverly hills	3102760615	american (traditional)	
21	restaur katsu	1NHA	los angeles	2136651891	asian	
22	katsu	1HA	los feliz	2136651891	japanese	
23	l'orangeri	9NLCB	los angeles	3106529770	french	
24	l'orangeri	9NLCB	w. hollywood	3106529770	french (classic)	
25	le chardonnai	8MA	los angeles	2136558880	french	
26	le chardonnai (lo angeles)	8MA	los angeles	2136558880	french bistro	
27	locanda veneta	3S	los angeles	3102741893	italian	
28	locanda veneta	8WTS	los angeles	3102741893	italian	
29	matsuhisa	1NLCB	beverly hills	3106599639	asian	
30	matsuhisa	1NLCB	beverly hills	3106599639	seafood	
31	the palm	9SMB	los angeles	3105508811	american	
32	palm  the (lo angeles)	9SMB	w. hollywood	3105508811	steakhouses	
33	patina	5MA	los angeles	2134671108	californian	
34	patina	5MA	los angeles	2134671108	californian	
35	philippe' the origin	1NAS	los angeles	2136283781	american	
36	philipp the origin	1NAS	chinatown	2136283781	cafeterias	
37	pinot bistro	1VB	los angeles	8189900500	french	
38	pinot bistro	1VB	studio city	8189900500	french bistro	
39	rex il ristorant	6SOS	los angeles	2136272300	italian	
40	rex il ristorant	6SOS	los angeles	2136272300	nuova cucina italian	
41	spago	1HA	los angeles	3106524025	californian	
42	spago (lo angeles)	8SB	w. hollywood	3106524025	californian	
43	valentino	3PB	santa monica	3108294313	italian	
44	valentino	3PB	santa monica	3108294313	italian	
45	yujean kang' gourmet chines cuisin	6NRA	los angeles	8185850855	asian	
46	yujean kang'	6NRA	pasadena	8185850855	chinese	
47	21 club	2W5S	new york	2125827200	american	
48	21 club	2W5S	new york city	2125827200	american (new)	
49	aquavit	1W5S	new york	2123077311	continental	
50	aquavit	1W5S	new york city	2123077311	scandinavian	
51	aureol	3E6S	new york	212 3191660	american	
52	aureol	3E6S	new york city	2123191660	american (new)	
53	cafe lalo	2W8S	new york	2124966031	coffee bar	
54	cafe lalo	2W8S	new york city	2124966031	coffeehouses	
55	cafe de artist	1W6S	new york	2128773500	continental	
56	cafe de artist	1W6S	new york city	2128773500	french (classic)	
57	carmine'	2BB9A9S	new york	2123622200	italian	
58	carmine'	2B	new york city	2123622200	italian	
59	carnegi deli	87AB5A5S	new york	2127572245	delicatessen	
60	carnegi deli	8SA	new york city	2127572245	delis	
61	chanterel	2HSNHS	new york	2129666960	american	
62	chanterel	2HS	new york city	2129666960	french (new)	
63	daniel	2E7S	new york	2122880033	french	
64	daniel	2E7S	new york city	2122880033	french (new)	
65	dawat	2E5S	new york	2123557555	asian	
66	dawat	2E5S	new york city	2123557555	indian	
67	felidia	2E5S	new york	2127581479	italian	
68	felidia	2E5S	new york city	2127581479	italian	
69	four season grill room	9E5S	new york	2127549494	american	
70	four season	9E5S	new york city	2127549494	american (new)	
71	gotham bar & grill	1E1S	new york	2126204020	american	
72	gotham bar & grill	1E1S	new york city	2126204020	american (new)	
73	gramerci tavern	4E2SBPASAB	new york	2124770777	american	
74	gramerci tavern	4E2S	new york city	2124770777	american (new)	
75	island spice	4W4S	new york	2127651737	tel caribbean	
76	island spice	4W4S	new york city	2127651737	caribbean	
77	jo jo	1E6S	new york	2122235656	american	
78	jo jo	1E6S	new york city	2122235656	french bistro	
79	la caravel	3W5S	new york	2125864252	french	
80	la caravel	3W5S	new york city	2125864252	french (classic)	
81	la cote basqu	6W5SB5A6A	new york	2126886525	french	
82	la cote basqu	6W5S	new york city	2126886525	french (classic)	
83	le bernardin	1W5S	new york	2124891515	french	
84	le bernardin	1W5S	new york city	2124891515	seafood	
85	le celebrit	1CPS	new york	2124845113	french	
86	le celebrit	1W5S	new york city	2124845113	french (classic)	
87	lespinass	2E5S	new york	2123396719	american	
88	lespinass (new york city)	2E5S	new york city	2123396719	asian	
89	lutec	2E5S	new york	2127522225	french	
90	lutec	2E5S	new york city	2127522225	french (classic)	
91	manhattan ocean club	5W5S	new york	212 3717777	seafood	
92	manhattan ocean club	5W5S	new york city	2123717777	seafood	
93	march	4E5S	new york	2127546272	american	
94	march	4E5S	new york city	2127546272	american (new)	
95	mesa grill	15AB1A1S	new york	2128077400	american	
96	mesa grill	1FA	new york city	2128077400	southwestern	
97	mi cocina	5JSOHS	new york	2126278273	mexican	
98	mi cocina	5JS	new york city	2126278273	mexican	
99	montrachet	2WBBWAWS	new york	212 2192777	french	
100	montrachet	2WB	new york city	2122192777	french bistro	
101	oceana	5E5S	new york	2127595941	seafood	
102	oceana	5E5S	new york city	2127595941	seafood	
103	park avenu cafe	1E6S	new york	2126441900	american	
104	park avenu cafe (new york city)	1E6S	new york city	2126441900	american (new)	
105	petrossian	1W5S	new york	2122452214	french	
106	petrossian	1W5S	new york city	2122452214	russian	
107	picholin	3W6S	new york	2127248585	mediterranean	
108	picholin	3W6S	new york city	2127248585	mediterranean	
109	pisc	9AAA6S	new york	2122606660	seafood	
110	pisc	9AA	new york city	2122606660	seafood	
111	rainbow room	3RP	new york	2126325000	or 212/632-5100 american	
112	rainbow room	3RP	new york city	2126325000	american (new)	
113	river cafe	1WSATER	brooklyn	7185225200	american	
114	river cafe	1WS	brooklyn	7185225200	american (new)	
115	san domenico	2CPS	new york	2122655959	italian	
116	san domenico	2CPS	new york city	2122655959	italian	
117	second avenu deli	12AA1S	new york	2126770606	delicatessen	
118	second avenu deli	1SA	new york city	2126770606	delis	
119	seryna	1E5S	new york	2129809393	asian	
120	seryna	1E5S	new york city	2129809393	japanese	
121	shun lee west	4W6S	new york	2123718844	asian	
122	shun lee palac	1E5S	new york city	2123718844	chinese	
123	sign of the dove	13AA6S	new york	2128618080	american	
124	sign of the dove	1TA	new york city	2128618080	american (new)	
125	smith & wollenski	2E4S	new york	2127531530	american	
126	smith & wollenski	7TA	new york city	2127531530	steakhouses	
127	tavern on the green	ICPA6S	new york	2128733200	american	
128	tavern on the green	CPW	new york city	2128733200	american (new)	
129	uncl nick'	79AB5A5S	new york	2123151726	mediterranean	
130	uncl nick'	7NA	new york city	2122457992	greek	
131	union squar cafe	2E1S	new york	2122434020	american	
132	union squar cafe	2E1S	new york city	2122434020	american (new)	
133	virgil'	1W4S	new york	212 9219494	american	
134	virgil' real bbq	1W4S	new york city	2129219494	bbq	
135	chin'	3LVBS	las vegas	7027338899	asian	
136	chin'	3LVBS	las vegas	7027338899	chinese	
137	coyot cafe	3LVBS	las vegas	7028917349	southwestern	
138	coyot cafe (la vegas)	3LVBS	las vegas	7028917349	southwestern	
139	le montrachet	3WPR	las vegas	7027325111	continental	
140	le montrachet bistro	3PR	las vegas	7027325651	french bistro	
141	palac court	3LVBS	las vegas	7027317547	continental	
142	palac court	3LVBS	las vegas	7027317110	french (new)	
143	second street grill	2EFS	las vegas	7023853232	seafood	
