id,name,address,city,phone,type,merged_values
1,ARNMRT,4SLCB,los angeles,3102461501,american,
2,ARNMRT,4SLCB,los angeles,3102461501,steakhouses,
3,ARTSTL,1VB,studio city,8187621221,american,
4,ARTSTL,1VB,studio city,8187621221,delis,
5,HTLBLR,7SCR,bel air,3104721211,californian,
6,BLRHTL,7SCR,bel air,3104721211,californian,
7,KFBS,1VB,sherman oaks,8187883536,french,
8,KFBS,1VB,sherman oaks,8187883536,french bistro,
9,KMPNL,6SLBA,los angeles,2139381447,american,
10,KMPNL,6SLBA,los angeles,2139381447,californian,
11,KNSNMN,2MS,santa monica,3103929025,french,
12,KNSNMN,2MS,santa monica,3103929025,pacific new wave,
13,STRS,6MA,los angeles,2138570034,californian,
14,STRS,6MA,los angeles,2138570034,californian,
15,FNKS,8SBW,hollywood,2138486677,american,
16,FNKST0,8SB,w. hollywood,2138486677,french (new),
17,KRNT,2WMR,malibu,3104560488,californian,
18,KRNT,2WMR,malibu,3104560488,californian,
19,KRLN0L,9DW,los angeles,3102760615,american,
20,KRL0,9DW,beverly hills,3102760615,american (traditional),
21,RSTRNT,1NHA,los angeles,2136651891,asian,
22,KTS,1HA,los feliz,2136651891,japanese,
23,LRNJR,9NLCB,los angeles,3106529770,french,
24,LRNJR,9NLCB,w. hollywood,3106529770,french (classic),
25,LXRTN,8MA,los angeles,2136558880,french,
26,LXRTNL,8MA,los angeles,2136558880,french bistro,
27,LKNTFN,3S,los angeles,3102741893,italian,
28,LKNTFN,8WTS,los angeles,3102741893,italian,
29,MTSHS,1NLCB,beverly hills,3106599639,asian,
30,MTSHS,1NLCB,beverly hills,3106599639,seafood,
31,0PLM,9SMB,los angeles,3105508811,american,
32,PLM0LS,9SMB,w. hollywood,3105508811,steakhouses,
33,PTN,5MA,los angeles,2134671108,californian,
34,PTN,5MA,los angeles,2134671108,californian,
35,FLPS0R,1NAS,los angeles,2136283781,american,
36,FLP0RJ,1NAS,chinatown,2136283781,cafeterias,
37,PNTBST,1VB,los angeles,8189900500,french,
38,PNTBST,1VB,studio city,8189900500,french bistro,
39,RKSLRS,6SOS,los angeles,2136272300,italian,
40,RKSLRS,6SOS,los angeles,2136272300,nuova cucina italian,
41,SPK,1HA,los angeles,3106524025,californian,
42,SPKLSN,8SB,w. hollywood,3106524025,californian,
43,FLNTN,3PB,santa monica,3108294313,italian,
44,FLNTN,3PB,santa monica,3108294313,italian,
45,YJNKNK,6NRA,los angeles,8185850855,asian,
46,YJNKNK,6NRA,pasadena,8185850855,chinese,
47,KLB,2W5S,new york,2125827200,american,
48,KLB,2W5S,new york city,2125827200,american (new),
49,AKFT,1W5S,new york,2123077311,continental,
50,AKFT,1W5S,new york city,2123077311,scandinavian,
51,ARL,3E6S,new york,212 3191660,american,
52,ARL,3E6S,new york city,2123191660,american (new),
53,KFLL,2W8S,new york,2124966031,coffee bar,
54,KFLL,2W8S,new york city,2124966031,coffeehouses,
55,KFTSRT,1W6S,new york,2128773500,continental,
56,KFTSRT,1W6S,new york city,2128773500,french (classic),
57,KRMNS,2BB9A9S,new york,2123622200,italian,
58,KRMNS,2B,new york city,2123622200,italian,
59,KRNJTL,87AB5A5S,new york,2127572245,delicatessen,
60,KRNJTL,8SA,new york city,2127572245,delis,
61,KNTRL,2HSNHS,new york,2129666960,american,
62,KNTRL,2HS,new york city,2129666960,french (new),
63,TNL,2E7S,new york,2122880033,french,
64,TNL,2E7S,new york city,2122880033,french (new),
65,TWT,2E5S,new york,2123557555,asian,
66,TWT,2E5S,new york city,2123557555,indian,
67,FLT,2E5S,new york,2127581479,italian,
68,FLT,2E5S,new york city,2127581479,italian,
69,FRSSNS,9E5S,new york,2127549494,american,
70,FRSSNS,9E5S,new york city,2127549494,american (new),
71,K0MBRK,1E1S,new york,2126204020,american,
72,K0MBRK,1E1S,new york city,2126204020,american (new),
73,KRMRST,4E2SBPASAB,new york,2124770777,american,
74,KRMRST,4E2S,new york city,2124770777,american (new),
75,ISLNTS,4W4S,new york,2127651737,tel caribbean,
76,ISLNTS,4W4S,new york city,2127651737,caribbean,
77,JJ,1E6S,new york,2122235656,american,
78,JJ,1E6S,new york city,2122235656,french bistro,
79,LKRFL,3W5S,new york,2125864252,french,
